day,material,inventory_t,shipment_t_per_d,external_source_t_per_d
5,航煤组分油,0.0,1323.321347,0.0
5,苯,0.0,0.0,0.0
5,苯乙烯,5488.2,143.435433,0.0
5,酯后碳四,0.0,97.633708,0.0
5,酸性气,0.0,91.938932,0.0
5,酸性水,0.0,0.0,0.0
5,醋酸仲丁酯,824.0,67.269348,0.0
5,醋酸原料,583.0,0.0,37.407095
5,醚后C4,0.0,0.0,0.0
5,高沸物,0.0,1.213283,0.0
6,0#柴油,50277.65,0.0,0.0
6,1#渣油,31183.871,0.0,0.0
6,2#渣油,0.0,29.462648,0.0
6,3#喷气燃料,24084.0,0.0,0.0
6,92#汽油,33437.75,0.0,0.0
6,95#汽油,24974.125,0.0,0.0
6,C12,0.0,0.237841,0.0
6,C4,0.0,169.824487,0.0
6,MTBE,6232.5381,32.74371,0.0
6,OG气,0.0,5.820082,0.0
6,RCO,17558.8875,0.0,0.0
6,YCO,21460.8625,0.0,16210.0
6,不合格丙烯,0.0,0.0,0.0
6,不合格液化气,0.0,0.0,0.0
6,丙烯,869.07475,0.0,0.0
6,丙烷,764.33121,52.044987,0.0
6,丙苯,0.0,4.706703,0.0
6,乙苯,3725.227434,0.0,0.0
6,催化柴油,19246.743,443.841545,0.0
6,催化汽油,7031.68025,1235.34234,0.0
6,净化干气,0.0,221.382705,0.0
6,常压直馏柴油,7122.2,8425.958,0.0
6,常压石脑油,7902.0,1847.94,0.0
6,干气,0.0,0.0,394.229979
6,戊烷,0.0,33.0556,0.0
6,次品MTBE,0.0,0.0,0.0
6,次品SBA,0.0,0.0,0.0
6,污油,0.0,0.0,0.0
6,油浆,0.0,0.0,0.0
6,液化气,0.0,0.0,0.0
6,烃化尾气,0.0,120.303321,0.0
6,烃化液,1325.26,0.0,0.0
6,焦油,0.0,0.0,0.0
6,焦炭,0.0,151.366304,0.0
6,燃料气,0.0,0.020095,0.0
6,瓦斯气,0.0,23.887152,0.0
6,甲苯,0.0,0.0,0.0
6,甲醇原料,839.5,0.0,12.248392
6,石油苯,1551.0,0.0,87.921206
6,石脑油,0.0,29.743053,0.0
6,石脑油Ⅲ,0.0,0.0,0.0
6,粗酯,0.0,2.523757,0.0
6,精制液化气,0.0,0.0,0.0
6,聚丙烯,0.0,184.322811,0.0
6,脱氢尾气,0.0,2.330918,0.0
6,脱氢液,1402.31,0.0,0.0
6,航煤原料,8143.2,176.708,0.0
6,航煤组分油,0.0,1323.321347,0.0
6,苯,0.0,0.0,0.0
6,苯乙烯,5488.2,0.0,0.0
6,酯后碳四,0.0,97.633708,0.0
6,酸性气,0.0,91.938932,0.0
6,酸性水,0.0,0.0,0.0
6,醋酸仲丁酯,824.0,67.269348,0.0
6,醋酸原料,583.0,0.0,37.407095
6,醚后C4,0.0,0.0,0.0
6,高沸物,0.0,1.213283,0.0
7,0#柴油,50277.65,0.0,0.0
7,1#渣油,32474.02,0.0,0.0
7,2#渣油,0.0,29.462648,0.0
7,3#喷气燃料,24084.0,0.0,0.0
7,92#汽油,33437.75,0.0,0.0
7,95#汽油,24974.125,0.0,0.0
7,C12,0.0,0.237841,0.0
7,C4,0.0,169.824487,0.0
7,MTBE,6232.5381,32.74371,0.0
7,OG气,0.0,5.820082,0.0
7,RCO,17558.8875,0.0,0.0
7,YCO,21460.8625,0.0,16210.0
7,不合格丙烯,0.0,0.0,0.0
7,不合格液化气,0.0,0.0,0.0
7,丙烯,840.764331,0.0,0.0
7,丙烷,764.33121,52.044987,0.0
7,丙苯,0.0,4.706703,0.0
7,乙苯,3835.95,0.0,0.0
7,催化柴油,19246.743,443.841545,0.0
7,催化汽油,7031.68025,1235.34234,0.0
7,净化干气,0.0,221.382705,0.0
7,常压直馏柴油,7122.2,8425.958,0.0
7,常压石脑油,7902.0,1847.94,0.0
7,干气,0.0,0.0,394.229979
7,戊烷,0.0,33.0556,0.0
7,次品MTBE,0.0,0.0,0.0
7,次品SBA,0.0,0.0,0.0
7,污油,0.0,0.0,0.0
7,油浆,0.0,0.0,0.0
7,液化气,0.0,0.0,0.0
7,烃化尾气,0.0,120.303321,0.0
7,烃化液,1325.26,0.0,0.0
7,焦油,0.0,0.0,0.0
7,焦炭,0.0,151.366304,0.0
7,燃料气,0.0,0.020095,0.0
7,瓦斯气,0.0,23.887152,0.0
